text,start,stop
"The following content is
provided under a Creative",00:00:00.790,00:00:03.190
Commons license.,00:00:03.190,00:00:04.730
"Your support will help
MIT OpenCourseWare",00:00:04.730,00:00:07.030
"continue to offer high-quality
educational resources for free.",00:00:07.030,00:00:11.390
"To make a donation or
view additional materials",00:00:11.390,00:00:13.990
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.990,00:00:17.880
at ocw.mit.edu.,00:00:17.880,00:00:18.840
"ANA BELL: So I'm creating
a variable called pset_time",00:00:22.690,00:00:27.340
"and I'm assigning it
to be the value 15.",00:00:27.340,00:00:30.340
"I'm creating a variable
named sleep_time.",00:00:30.340,00:00:32.560
"I'm assigning it
to be the value 8.",00:00:32.560,00:00:36.700
"I'm going to print the value
of this expression here.",00:00:36.700,00:00:42.050
"And the expression is a
conditional that says,",00:00:42.050,00:00:44.640
"is sleep_time greater
than pset_time?",00:00:44.640,00:00:47.230
"So in Python, you're just going
to replace these variables",00:00:47.230,00:00:50.830
with their values.,00:00:50.830,00:00:52.000
So is 8 greater than 15?,00:00:52.000,00:00:55.510
"And that's false, so perfect.",00:00:55.510,00:00:59.380
"And then one operation on
Booleans derive as true.",00:00:59.380,00:01:05.310
Drink is false.,00:01:05.310,00:01:06.680
"I'm using the AND
operator to figure out",00:01:06.680,00:01:09.850
"if I should drink
and derive, and I'm",00:01:09.850,00:01:13.930
going to print out false.,00:01:13.930,00:01:17.440
"So, perfect, people
are getting it.",00:01:17.440,00:01:20.050
"Great job, guys.",00:01:20.050,00:01:21.813
